,Accuracy,AUC,Precision,Recall,F1 Score,MCC
Logistic Regression,0.5367362722351121,0.7552340336659913,0.5129618266138873,0.5367362722351121,0.5073065061525753,0.2636429091692226
Decision Tree,0.6102088167053364,0.6339358433959802,0.608770688481174,0.6102088167053364,0.6091682902413351,0.4208841789202719
KNN,0.5522041763341067,0.6752472431928999,0.5341943324372199,0.5522041763341067,0.5412492333036016,0.3145788355792158
Naive Bayes,0.3928847641144625,0.6383070092247005,0.423864411296019,0.3928847641144625,0.40415895159418125,0.13599879594321107
Random Forest,0.699922660479505,0.79665720673392,0.7050121281855823,0.699922660479505,0.6876733450122976,0.5373461824623925
XGBoost,0.671307037896365,0.784035760115407,0.6630303692881524,0.671307037896365,0.6629273086181684,0.49725657399587925
